Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
0.000140295453555 Logan-Cache, United States
0.000140178955533 Atka Airport, United States
0.000140178955533 Nikolski Air Station, United States
0.000139901953614 Patna, India
0.000139811776204 Vigra, Norway
0.000139510539231 Wokal Field Glasgow International Airport, United States
0.000139509678511 Hualien, Taiwan
0.000139485852147 Rurutu, French Polynesia
0.000139372065884 Vilankulo, Mozambique
0.000139320393082 Tikehau, French Polynesia
0.00013925785623 Captain Rogelio Castillo National Airport, Mexico
0.000139241684312 Winton Airport, Australia
0.00013901531684 Nouakchott, Mauritania
0.00013877286264 Yangzhou Taizhou Airport, China
0.000138700167234 Stornoway, United Kingdom
0.00013858491178 Sao Jose Do Rio Preto, Brazil
0.000138437616826 Gondar, Ethiopia
0.000138352758644 Papa Westray Airport, United Kingdom
0.000138264823885 Prince Said Ibrahim, Comoros
0.000138187185596 Bahias De Huatulco Intl, Mexico
0.000138056759759 Gualeguaychu, Argentina
0.000138056759759 La Junta Muni, United States
0.000138056759759 St. Theresa Point Airport, Canada
0.000137799826203 Bale Mulhouse, France
0.000137770580076 Londolovit Airport, Papua New Guinea
0.000137743030927 Sary-Arka, Kazakhstan
0.000137619992543 Reggio Calabria, Italy
0.000137433408343 Huangyan Luqiao Airport, China
0.000137287411123 Mutiara Ii, Indonesia
0.000137233751502 Nabire, Indonesia
0.000137219809803 Fort Simpson, Canada
0.000137219282903 Alta Floresta, Brazil
0.000137127834311 Metlakatla Seaplane Base, United States
0.00013703036116 Hewanorra Intl, Saint Lucia
0.00013685897787 Puerto Jimenez Airport, Costa Rica
0.000136835191835 Sinop Airport, Turkey
0.000136829205466 Adi Sumarmo Wiryokusumo, Indonesia
0.00013678487578 Jingdezhen Airport, China
0.000136642786749 Cabo Frio International Airport, Brazil
0.000136601172923 Supadio, Indonesia
0.000136378714454 Floro, Norway
0.000136199465774 Arctic Bay Airport, Canada
0.000135958639707 Murmansk, Russia
0.000135931444558 Tabubil Airport, Papua New Guinea
0.000135922218341 Lubumbashi Intl, Congo (Kinshasa)
0.000135860115833 Matei Airport, Fiji
0.0001358511333 Luzhou Airport, China
0.000135745783617 Fairmont Hot Springs, Canada
0.000135731477417 Baie Comeau, Canada
0.000135508141563 Golfito, Costa Rica
0.000135494736901 Yampa Valley, United States
0.000135426951001 Orlando Bezerra de Menezes Airport, Brazil
0.000135342131218 South Caicos, Turks and Caicos Islands
0.000135309561274 Mt. Fuji Shizuoka Airport, Japan
0.00013529460465 Cascavel, Brazil
0.000135172736039 Sokol, Russia
0.00013504602903 Nanaimo Harbour Water Airport, Canada
0.000135045086127 Satu Mare, Romania
0.000135031013995 Thule Air Base, Greenland
0.000134942570405 Barnaul, Russia
0.000134910613828 Guanajuato Intl, Mexico
0.000134885587817 Dandong, China
0.000134742671516 Savannah Hilton Head Intl, United States
0.000134609685258 Fakarava, French Polynesia
0.000134609685258 Mataiva, French Polynesia
0.000134521180278 Rafha, Saudi Arabia
0.000134405127341 Atyrau, Kazakhstan
0.00013437061719 Guangyuan Airport, China
0.000134298753921 Maryborough Airport, Australia
0.000134283049753 Hebei Handan Airport, China
0.00013417158382 Horta, Portugal
0.000133996481708 Koumac, New Caledonia
0.000133966230483 Kapalua, United States
0.000133948417851 Yiwu Airport, China
0.0001338359519 Inyokern Airport, United States
0.00013373213562 Josefa Camejo, Venezuela
0.000133541571805 Tenakee Seaplane Base, United States
0.000133511308284 Beihai Airport, China
0.00013334934914 Southend, United Kingdom
0.000133121485319 Berlevag, Norway
0.000133078051185 Campo Alegre Airport, Brazil
0.000133057525629 Sao Gabriel da Cachoeira Airport, Brazil
0.000133053016881 Franklin, United States
0.000132796222173 Wrangell Airport, United States
0.000132422578398 Transilvania Targu Mures, Romania
0.000132405108741 Jackson Hole Airport, United States
0.000132164425205 Maniitsoq Airport, Greenland
0.000132127876426 Jiayuguan Airport, China
0.000132069818998 Saint Barthelemy, France
0.000132012935099 Goodnews Airport, United States
0.000132000164603 Pullman-Moscow Rgnl, United States
0.000131977679737 Cam Ranh Airport, Vietnam
0.000131956099241 Shang Yi, Taiwan
0.000131890630446 Akunnaaq Heliport, Greenland
0.000131653474444 Sao Jorge, Portugal
0.000131527281354 Fort Worth Alliance Airport, United States
0.000131425218979 Uytash, Russia
0.000131357931435 Monroe Rgnl, United States
0.000131097735144 Cadete Guillermo Del Castillo Paredes, Peru
0.00013109209687 Prefeito Renato Moreira, Brazil
0.000130984945648 Salvaza, France
0.000130981656434 Ushuaia Malvinas Argentinas, Argentina
0.000130938903044 Matecana, Colombia
0.000130904939754 Chacalluta, Chile
0.000130782415554 Friday Harbor Airport, United States
0.000130782415554 Orcas Island Airport, United States
0.000130731122442 Antonio Maceo Intl, Cuba
0.000130664076884 Hermanos Ameijeiras, Cuba
0.000130576856047 Tela, Honduras
0.000130576856047 All Airports, Italy
0.000130548774189 Flagler County Airport, United States
0.000130442041262 Lviv Intl, Ukraine
0.000130440808374 Gheshm Airport, Iran
0.000130284853776 Hierro, Spain
0.00013022785778 Contadora Airport, Panama
0.00013022785778 Puerto Obaldia, Panama
0.000130056753282 Luxor Intl, Egypt
0.000130046364627 Lokichoggio Airport, Kenya
0.000130032274528 Bagotville, Canada
0.000129971151042 Comandante Espora, Argentina
0.00012992231727 Flinders Island Airport, Australia
0.000129764946244 Marau Airport, Solomon Islands
0.000129749232346 Vinh Airport, Vietnam
0.000129501690902 Stokka, Norway
0.000129430185323 Nemiscau Airport, Canada
0.000129369793799 Vitória da Conquista Airport, Brazil
0.000129332178614 Ängelholm-Helsingborg Airport, Sweden
0.000129089600494 Kapuskasing, Canada
0.000129057544005 Colombo Ratmalana, Sri Lanka
0.000129057544005 Yelahanka AFB, India
0.000128981606843 Iskandar, Indonesia
0.000128948263983 La Managua, Costa Rica
0.000128905468755 Axum, Ethiopia
0.000128779825689 Okayama, Japan
0.000128740394242 Corvo Airport, Portugal
0.000128731844146 Nizhnevartovsk, Russia
0.000128692940006 Kumamoto, Japan
0.000128644727042 Pickle Lake, Canada
0.000128528306263 Benbecula, United Kingdom
0.000128407211262 Habib Bourguiba Intl, Tunisia
0.000128379448954 Long Island Mac Arthur, United States
0.000128378113147 Carlos Alberto da Costa Neves Airport, Brazil
0.000128276583422 Klawock Airport, United States
0.000128247259951 Selawik Airport, United States
0.000128174225989 Kashi, China
0.000128070277497 Capitan Nicolas Rojas, Bolivia
0.000128031333442 Ouarzazate, Morocco
0.000127945471758 Tampere Pirkkala, Finland
0.000127665085915 Mobile Rgnl, United States
0.000127663043789 Megas Alexandros Intl, Greece
0.000127634485103 Hodeidah Intl, Yemen
0.000127450140825 Levelock Airport, United States
0.000127435602017 Palmer Muni, United States
0.000127416489352 Osmany Intl, Bangladesh
0.000127317973256 Xilinhot Airport, China
0.000127311539525 Cherry Capital Airport, United States
0.000127243813175 Kedougou, Senegal
0.000127243813175 Biessenhofen BF, Germany
0.000127243813175 Saint-Laurent-du-Maroni Airport, French Guiana
0.000127243813175 Cartersville Airport, United States
0.000127206283531 Makemo, French Polynesia
0.000127104093811 Boone Co, United States
0.000126850823344 Nepalgunj Airport, Nepal
0.000126770247231 Presidente Joao Suassuna, Brazil
0.000126736171066 Frank Wiley Field, United States
0.00012664942053 Youngstown Elser Metro Airport, United States
0.000126631994162 George F L Charles, Saint Lucia
0.000126570063255 Karratha, Australia
0.000126353010686 Angoon Seaplane Base, United States
0.000126130018916 Lodwar, Kenya
0.000126120040836 Kamloops, Canada
0.000126117475816 Woodbourne, New Zealand
0.000126097023477 Bacolod, Philippines
0.000125807692309 Conceicao Do Araguaia, Brazil
0.000125772265811 Salekhard Airport, Russia
0.000125644859851 Forli, Italy
0.000125586399105 Shishmaref Airport, United States
0.000125533271069 Grise Fiord Airport, Canada
0.000125264679663 Rabil, Cape Verde
0.000125142866647 Rio Gallegos, Argentina
0.000124763840961 Wallis, Wallis and Futuna
0.000124616521492 Parsabade Moghan Airport, Iran
0.000124602515576 London-Corbin Airport-MaGee Field, United States
0.000124410726734 Mora, Sweden
0.000124410726734 Pilanesberg Intl, South Africa
0.000124410726734 Hornepayne, Canada
0.000124379457421 Datong Airport, China
0.000124286502689 Xingyi Airport, China
0.000124035571256 Liberal Muni, United States
0.000124007860837 Tongliao Airport, China
0.000123939520527 Rockhampton, Australia
0.00012392778457 Repulse Bay, Canada
0.000123873240659 Totegegie, French Polynesia
0.000123710331265 Arrachart, Madagascar
0.000123648853462 Sultan Babullah, Indonesia
0.000123526539975 Lovell Fld, United States
0.000123428531691 Akita, Japan
0.000123379568156 Dunhuang Airport, China
0.000123331825335 Usiminas, Brazil
0.000123224767185 Yining Airport, China
0.000122946371808 Burlington Intl, United States
0.000122832072313 Galion Municipal Airport, United States
0.000122719771259 General Juan N Alvarez Intl, Mexico
0.000122676420943 Roanoke Regional, United States
0.000122578072941 Moranbah Airport, Australia
0.000122565849574 Orenburg, Russia
0.000122547450597 Mosnov, Czech Republic
0.000122463514152 Cheyenne Rgnl Jerry Olson Fld, United States
0.000122409290244 Molokai, United States
0.000122385071215 Santa Barbara Muni, United States
0.000122369489129 Agartala, India
0.000122122157169 Namangan Airport, Uzbekistan
0.000122118411774 Sloulin Fld Intl, United States
0.000122095266683 Kjaerstad, Norway
0.000121977378906 Dubbo, Australia
0.000121754202998 Coldfoot Airport, United States
0.000121706349671 Simon Bolivar, Colombia
0.000121646179353 Makale, Ethiopia
0.000121577640293 Birch Creek Airport, United States
0.000121563535675 Asahikawa, Japan
0.00012137262742 Enrique Malek Intl, Panama
0.000121368854002 Copiapo, Chile
0.000121281690028 Auvergne, France
0.000121238772298 Tiska, Algeria
0.000121235991843 Kopitnari, Georgia
0.000121187311995 Macapa, Brazil
0.000121183510308 Mar Del Plata, Argentina
0.00012115935588 Leknes Airport, Norway
0.000121139332971 Trabzon, Turkey
0.000121077683862 Jack Northrop Fld Hawthorne Muni, United States
0.000121077683862 Macau Ferry Pier, Macau
0.000121077683862 Norwood Memorial Airport, United States
0.00012097857831 Geraldton Greenstone Regional, Canada
0.000120903510106 Kone, New Caledonia
0.000120827900334 Canyonlands Field, United States
0.000120796016866 Jodhpur, India
0.000120791311717 Raivavae Airport, French Polynesia
0.000120735054539 Sultan Abdul Halim, Malaysia
0.000120706446875 Nagoya Airport, Japan
0.000120511554245 Mukhino, Russia
0.000120377764201 Hamilton Island Airport, Australia
0.00012027694665 Astrakhan, Russia
0.000120276844991 Karshi Khanabad Airport, Uzbekistan
0.000120253036816 Broken Hill Airport, Australia
0.000120224881449 Rick Husband Amarillo Intl, United States
0.000120110202617 Rigolet Airport, Canada
0.000120044623304 Lauro Carneiro De Loyola, Brazil
0.000120039778103 Moorea, French Polynesia
0.000119986621743 Brest, Belarus
0.000119916605569 Batsfjord, Norway
0.000119912831052 Sitia, Greece
0.000119787875582 Senador Nilo Coelho, Brazil
0.000119619028983 Lencero Airport, Mexico
0.000119617182193 Uberaba, Brazil
0.000119608210221 Dawei Airport, Burma
0.000119602140493 Karmoy, Norway
0.000119428248997 Quelimane, Mozambique
0.000119396433333 Gumrak, Russia
0.000119291663252 Samos, Greece
0.000119232585644 Lamap Airport, Vanuatu
0.000119224468639 Professor Urbano Ernesto Stumpf, Brazil
0.000119169516818 Aleppo Intl, Syria
0.000119169516818 Cross Lake - Charlie Sinclair Memorial Airport, Canada
0.000119169516818 Zona da Mata Regional Airport, Brazil
0.00011914513499 Usinsk, Russia
0.000119092397024 Frans Kaisiepo, Indonesia
0.000119084818146 Greater Moncton Intl, Canada
0.000119076643119 Preguica, Cape Verde
0.000119017311991 Angel Albino Corzo, Mexico
0.00011897585758 Monaco, Monaco
0.000118931675752 Alluitsup Paa Heliport, Greenland
0.000118929257466 Aberdeen Regional Airport, United States
0.000118920805792 Tautii Magheraus, Romania
0.000118851585733 Gladstone Airport, Australia
0.000118774346844 Elko Regional Airport, United States
0.000118650695553 Zaragoza Ab, Spain
0.000118641667028 Land's End / St. Just Airport, United Kingdom
0.000118599904961 Abraham Lincoln Capital, United States
0.000118590469174 Rampart Airport, United States
0.000118434338049 Ministro Victor Konder Intl, Brazil
0.000118284507245 Dickinson Theodore Roosevelt Regional Airport, United States
0.000118274482407 Governors Harbour, Bahamas
0.000118244597421 Braganca, Portugal
0.000118033397353 Bintulu, Malaysia
0.000118013546984 Taif, Saudi Arabia
0.000117986901886 Monterey Peninsula, United States
0.000117947948893 Jaqué Airport, Panama
0.000117947948893 Achutupo Airport, Panama
0.00011790949182 Presidente Nicolau Lobato Intl, East Timor
0.000117871450896 Aitutaki, Cook Islands
0.000117829868689 Imphal, India
0.000117584768048 Elcho Island Airport, Australia
0.000117556032947 Heroes Del Acre, Bolivia
0.00011748651624 Sale, Morocco
0.000117325019715 Marshall Islands Intl, Marshall Islands
0.000117283052599 Narsaq Heliport, Greenland
0.000117278649512 Busuanga, Philippines
0.00011721793178 Amritsar, India
0.000117146228049 Salalah, Oman
0.000117141612949 Juliaca, Peru
0.000117062761328 Takaka Aerodrome, New Zealand
0.000116961364899 Port Hope Simpson Airport, Canada
0.00011679408864 Teller Airport, United States
0.000116749112362 Rapid City Regional Airport, United States
0.000116488859874 Eelde, Netherlands
0.000116467562503 Groote Eylandt Airport, Australia
0.000116464083136 Cassidy Intl, Kiribati
0.000116398619825 General Francisco J Mujica Intl, Mexico
0.000116253060947 Sugraly Airport, Uzbekistan
0.000116101027812 Robert L Bradshaw, Saint Kitts and Nevis
0.000116097480727 Aswan Intl, Egypt
0.00011605285595 Thargomindah Airport, Australia
0.000115984504967 Mekoryuk Airport, United States
0.000115971810798 Senadora Eunice Micheles Airport, Brazil
0.000115861993764 Umea, Sweden
0.000115836473946 Wake Island Afld, Wake Island
0.000115741951835 Saab, Sweden
0.000115625247475 Ryum Airport, Norway
0.000115586889482 Perryville Airport, United States
0.000115561141167 Lincoln, United States
0.000115257426302 Manley Hot Springs Airport, United States
0.000115254533758 Baton Rouge Metro Ryan Fld, United States
0.000115243604046 Charlottetown, Canada
0.000115221787304 Kasane, Botswana
0.000115205100147 Rivesaltes, France
0.000115044710426 Sde Dov, Israel
0.000114991256973 Cape Dorset, Canada
0.000114983851186 Nanchong Airport, China
0.000114739873833 Hamilton, New Zealand
0.000114739873833 Nelson, New Zealand
0.000114694645652 Chicago Rockford International Airport , United States
0.00011466318773 Turany, Czech Republic
0.00011464983399 Tuktoyaktuk, Canada
0.00011459607553 Nuiqsut Airport, United States
0.000114494261276 Koyukuk Airport, United States
0.000114471585489 Brusselton, Australia
0.000114458607089 Yenbo, Saudi Arabia
0.000114444331948 Lubango, Angola
0.00011440002751 Falconara, Italy
0.000114360946644 Lewiston Nez Perce Co, United States
0.000114184514165 Rotorua, New Zealand
0.000114141138643 Toledo, United States
0.000114058023575 Daniel Z Romualdez, Philippines
0.000114008133419 Pelotas, Brazil
0.000113966421466 Heilongjiang Mohe Airport, China
0.000113753599519 Cape Lisburne Lrrs, United States
0.000113647893822 Chautauqua County-Jamestown, United States
0.000113627684215 Lockhart River Airport, Australia
0.000113569506319 Fak Fak, Indonesia
0.000113540273613 Tatalina Lrrs, United States
0.000113535091908 Flores, Portugal
0.000113455469143 Coari Airport, Brazil
0.000113293166001 Osnova International Airport, Ukraine
0.00011327433181 Ipota Airport, Vanuatu
0.00011327433181 Futuna Airport, Vanuatu
0.00011327433181 Aniwa Airport, Vanuatu
0.00011327433181 Anelghowhat Airport, Vanuatu
0.00011318429748 Banak, Norway
0.000113163479617 Pajala Airport, Sweden
0.000113003387504 King Abdulaziz Ab, Saudi Arabia
0.000113003387504 Unst Airport, United Kingdom
0.000113003387504 Alitak Seaplane Base, United States
0.000113001219857 Stony River 2 Airport, United States
0.000112954051558 Toyama, Japan
0.000112744554473 Lynn Lake, Canada
0.000112725541036 Boulia Airport, Australia
0.000112662782165 Dalanzadgad Airport, Mongolia
0.00011263027026 Wagga Wagga, Australia
0.000112600902566 Allakaket Airport, United States
0.00011241161704 Resistencia, Argentina
0.000112389399444 Manihi, French Polynesia
0.000112259477544 Anda Airport, Norway
0.00011221736632 Innsbruck, Austria
0.000112210978047 Mutiara, Indonesia
0.000112067413711 Shire Inda Selassie Airport, Ethiopia
0.000111969207665 Ain Arnat Airport, Algeria
0.000111968490688 Mariscal Lamar, Ecuador
0.000111891225444 Zhob, Pakistan
0.000111888282308 Boa Vista, Brazil
0.000111851729442 Sebha, Libya
0.000111689613106 Calais Dunkerque, France
0.000111689613106 Pocos De Caldas, Brazil
0.000111689613106 Campo Fontenelle, Brazil
0.000111689613106 Yorke Island Airport, Australia
0.000111689613106 Valenca Airport, Brazil
0.000111689613106 Marshfield Municipal Airport, United States
0.000111689613106 Madison GA Municipal Airport, United States
0.000111689613106 Shell Mera, Ecuador
0.000111551698587 Atqasuk Edward Burnell Sr Memorial Airport, United States
0.000111551698587 Wainwright Airport, United States
0.000111444165412 Babelthuap, Palau
0.000111401321887 Legazpi, Philippines
0.000111273680218 Nanping Wuyishan Airport, China
0.000111107695322 Great Falls Intl, United States
0.000111061950678 A Coruna, Spain
0.000111009571769 Qingyang Airport, China
0.000110914129206 Chimoio Airport, Mozambique
0.000110842543887 Kerry, Ireland
0.000110817401162 Abel Santamaria, Cuba
0.000110598952042 Kalgoorlie Boulder, Australia
0.000110595264029 Sarh Airport, Chad
0.000110595264029 Indianapolis Metropolitan Airport, United States
0.000110538668943 Tawau, Malaysia
0.000110498203275 Craiova, Romania
0.000110471212978 Atlantic City Intl, United States
0.000110336383261 Campbell River, Canada
0.000110291000795 Tabuk, Saudi Arabia
0.000110135552519 Paamiut Heliport, Greenland
0.000110133627203 Birsa Munda, India
0.000109963632947 Mallam Aminu Intl, Nigeria
0.000109944139391 Sisimiut Airport, Greenland
0.000109881830795 Arvidsjaur, Sweden
0.000109837350353 Vanimo Airport, Papua New Guinea
0.000109808637216 Invercargill, New Zealand
0.00010976603025 Sibiu, Romania
0.000109441686045 Sumburgh, United Kingdom
0.000109422499691 Yakutat, United States
0.000109396775842 Heringsdorf Airport, Germany
0.000109371547681 Sultan Iskandarmuda, Indonesia
0.000109267704529 Madurai, India
0.000109263210826 Begishevo, Russia
0.000109224812061 Hat Yai Intl, Thailand
0.000108572149089 Ixtapa Zihuatanejo Intl, Mexico
0.000108548359075 Altus Afb, United States
0.000108548359075 Trois Rivieres Airport, Canada
0.000108547168726 Al Ghaidah Intl, Yemen
0.000108501081325 Midland Intl, United States
0.00010844355197 Lashio, Burma
0.000108442164308 Ahe Airport, French Polynesia
0.000108424226052 Marktoberdorf BF, Germany
0.000108410993327 Luhansk International Airport, Ukraine
0.000108356570234 Estevan, Canada
0.000108356570234 Gusau, Nigeria
0.000108356570234 Furstenfeldbruck, Germany
0.000108356570234 Messina, South Africa
0.000108356570234 Rongelap Island Airport, Marshall Islands
0.000108356570234 Togiak Airport, United States
0.000108356570234 Ekwok Airport, United States
0.000108356570234 Diamantino Airport, Brazil
0.000108356570234 Train Station, Canada
0.000108356570234 Marana Regional, United States
0.000108356570234 Poltava, Ukraine
0.000108356570234 Hamburg Inc Airport, United States
0.000108062168895 North Platte Regional Airport Lee Bird Field, United States
0.000108007571966 Bahia Piña Airport, Panama
0.000108007571966 Playon Chico, Panama
0.000107950041172 Duong Dong Airport, Vietnam
0.00010776530412 Vilhena, Brazil
0.000107690515829 Borba Airport, Brazil
0.000107670873677 Bronnoy, Norway
0.000107561168047 Bangor Intl, United States
0.00010754466043 Fera/Maringe Airport, Solomon Islands
0.000107527537312 Niagara Falls Intl, United States
0.000107314753863 Zweibruecken, Germany
0.000107313741857 Point Lay Lrrs, United States
0.000107277557676 Al Najaf International Airport, Iraq
0.000107230232874 Napier, New Zealand
0.00010722518666 Kemi Tornio, Finland
0.000107156989894 Eagle Co Rgnl, United States
0.000107140121681 Multan Intl, Pakistan
0.000107119905029 Aracatuba, Brazil
0.000106912256077 Tweed-New Haven Airport, United States
0.000106882217454 Roma Airport, Australia
0.000106865916808 Uromiyeh Airport, Iran
0.00010657863666 San Juan, Argentina
0.000106565706617 Trichy, India
0.00010655611319 Vigo, Spain
0.000106465123451 High Level, Canada
0.000106409512231 U Taphao Intl, Thailand
0.000106349671783 Araguaina Airport, Brazil
0.000106080026652 Cabinda, Angola
0.000106078832237 Ourilandia do Norte Airport, Brazil
0.000105917308907 Smithers, Canada
0.000105902746814 Chuuk Intl, Micronesia
0.000105889674654 Ganzhou Airport, China
0.000105838045267 Noumerat, Algeria
0.000105815308088 Touat Cheikh Sidi Mohamed Belkebir, Algeria
0.000105807582078 Ji-Paraná Airport, Brazil
0.00010579388667 Hovden, Norway
0.00010578449482 Kosice, Slovakia
0.000105777564178 Chifeng Airport, China
0.000105682703619 Fonte Boa Airport, Brazil
0.000105663424273 Warri Airport, Nigeria
0.000105566811058 Sault Ste Marie, Canada
0.000105523483792 Margate, South Africa
0.000105523483792 Piestany, Slovakia
0.000105523483792 Akron Fulton Intl, United States
0.000105523483792 Quantico Mcaf, United States
0.000105523483792 Sehwan Sharif Airport, Pakistan
0.000105523483792 Enyu Airfield, Marshall Islands
0.000105523483792 El Arish International Airport, Egypt
0.000105523483792 Corpus Christi NAS, United States
0.000105523483792 Minacu Airport, Brazil
0.000105523483792 Taldykorgan Airport, Kazakhstan
0.000105466842874 Dire Dawa Intl, Ethiopia
0.000105253976706 Nadym Airport, Russia
0.000105229855011 Port Heiden Airport, United States
0.000105229855011 Chignik Lake Airport, United States
0.000105229855011 Egegik Airport, United States
0.000105229855011 Pilot Point Airport, United States
0.000105212468861 Bauru-Arealva, Brazil
0.000105158117064 Hatay Airport, Turkey
0.000105122523437 Dalat, Vietnam
0.000105103093186 Kars Airport, Turkey
0.000105050460745 Nosara, Costa Rica
0.000105023527361 Santa Ana Airport, Colombia
0.000104743471954 Choiseul Bay Airport, Solomon Islands
0.000104739890375 Julio Belem Airport, Brazil
0.000104584771364 Richmond, Australia
0.000104582281322 Blackpool, United Kingdom
0.000104432586381 Red Devil Airport, United States
0.00010439053593 Shubuling Airport, China
0.00010427534224 Antonio Narino, Colombia
0.000104127653511 Barcelos Airport, Brazil
0.000104103609409 Iasi, Romania
0.000104047496597 Santa Fe Muni, United States
0.000104021260728 Takaroa, French Polynesia
0.000104018135559 Cayo Coco Airport, Cuba
0.00010396620696 Austin Straubel Intl, United States
0.000103951099713 Bella Bella Airport, Canada
0.000103933291859 Westray Airport, United Kingdom
0.000103933291859 North Ronaldsay Airport, United Kingdom
0.000103788554759 Kerman, Iran
0.000103767706644 Central Illinois Rgnl, United States
0.000103718584315 Metz Nancy Lorraine, France
0.000103635724894 Glacier Park Intl, United States
0.000103499877499 Khajuraho, India
0.000103255361073 Roberts Fld, United States
0.000103193044221 Long Akah Airport, Malaysia
0.000103048254508 Aomori, Japan
0.000102780285832 George, South Africa
0.000102727586878 Exuma Intl, Bahamas
0.000102694469606 In Salah, Algeria
0.000102600102789 Grand Forks Intl, United States
0.00010258576048 Avalon, Australia
0.000102559494841 General Santos International Airport, Philippines
0.000102538395512 Lanseria, South Africa
0.000102511556708 Port Blair, India
0.000102424191911 Normanton Airport, Australia
0.000102413118717 Huambo, Angola
0.000102413118717 Kuito, Angola
0.000102413118717 Menongue, Angola
0.000102406394774 Saurimo, Angola
0.000102398795336 Belgorod International Airport, Russia
0.000102359765056 Walaha Airport, Vanuatu
0.000102342838728 Zhanjiang Airport, China
0.000102252230077 Bosaso Airport, Somalia
0.00010219044092 Twentynine Palms Eaf, United States
0.00010219044092 Maloelap Island Airport, Marshall Islands
0.00010219044092 Aosta Airport, Italy
0.00010219044092 Lake Evella Airport, Australia
0.00010219044092 Daqing Saertu Airport, China
0.00010219044092 Bryce Canyon, United States
0.00010219044092 Jackson County Airport, United States
0.000102178365836 Miyako, Japan
0.000102100468087 Torreon Intl, Mexico
0.000102082448641 Qikiqtarjuaq, Canada
0.000102011257064 Sukkur, Pakistan
0.000101933215235 Elfin Cove Seaplane Base, United States
0.000101926886571 Turbat International Airport, Pakistan
0.000101837243596 Apartadó Airport, Colombia
0.000101800613758 Huai An Lianshui Airport, China
0.000101773307122 Erzurum, Turkey
0.000101646930832 Pau Pyrenees, France
0.000101503836617 Noshahr Airport, Iran
0.000101503188651 Sandakan, Malaysia
0.000101337594357 Krabi, Thailand
0.000101335423775 Durango Intl, Mexico
0.000101193813528 Fergana Airport, Uzbekistan
0.00010114389058 Valdez Pioneer Fld, United States
0.00010112938104 Seymour, Ecuador
0.000101075352489 Panama City-NW Florida Bea., United States
0.000100864471717 Sayun International Airport, Yemen
0.000100621585102 Ndjamena Hassan Djamous, Chad
0.000100610237408 Branson LLC, United States
0.000100600617636 Avaratra, Madagascar
0.000100528440148 Cauayan Airport, Philippines
0.000100482090398 Bismarck Municipal Airport, United States
0.000100397338035 Røssvoll Airport, Norway
0.000100379124692 Taiz Intl, Yemen
0.000100289488805 Aktyubinsk, Kazakhstan
0.000100193374762 Coffs Harbour, Australia
0.000100145202591 Juan Pablo Pérez Alfonso Airport, Venezuela
0.000100135521996 Kimmirut Airport, Canada
0.000100128497777 Maturin, Venezuela
0.000100092346423 Perugia, Italy
9.99159486473e-05 Sao Tome Intl, Sao Tome and Principe
9.99088795109e-05 Excursion Inlet Seaplane Base, United States
9.99088795109e-05 Kake Seaplane Base, United States
9.9832807522e-05 Whitehorse Intl, Canada
9.97736056774e-05 Fuyang Airport, China
9.97684521683e-05 Angers-Loire Airport, France
9.97673951998e-05 Wallblake, Anguilla
9.95523123161e-05 North Eleuthera, Bahamas
9.95073630505e-05 Shymkent, Kazakhstan
9.93573544789e-05 Monclova Intl, Mexico
9.93573544789e-05 Mmabatho International Airport, South Africa
9.93573544789e-05 La Désirade Airport, Guadeloupe
9.93002260008e-05 Rosario Seaplane Base, United States
9.91990964852e-05 Marília Airport, Brazil
9.91153466004e-05 Puerto Carreno, Colombia
9.91153466004e-05 Obando Airport, Colombia
9.91084669133e-05 Sorkjosen Airport, Norway
9.90424890513e-05 Guanambi Airport, Brazil
9.8921170811e-05 Quesnel, Canada
9.8817724741e-05 Oita, Japan
9.87600410697e-05 Colonel Hill Airport, Bahamas
9.87470590429e-05 Rubem Berta, Brazil
9.86832242926e-05 Mare, New Caledonia
9.86832242926e-05 Touho, New Caledonia
9.86832242926e-05 Île des Pins Airport, New Caledonia
9.86640013721e-05 Bartolomeu Lisandro, Brazil
9.85504220561e-05 Taree Airport, Australia
9.85147687256e-05 Sultan Mahmud, Malaysia
9.84707656256e-05 Hughes Airport, United States
9.84463594149e-05 New Bedford Regional Airport, United States
9.83657802342e-05 Luoyang Airport, China
9.82069146365e-05 Tallahassee Rgnl, United States
9.81592569851e-05 Ballina Byron Gateway, Australia
9.8141553584e-05 Gove Airport, Australia
9.79891849024e-05 Loreto Intl, Mexico
9.79866273684e-05 Adiyaman Airport, Turkey
9.79370342336e-05 Jesus Teran Intl, Mexico
9.79281229564e-05 Lugano, Switzerland
9.78417444916e-05 Pai, Thailand
9.77587782707e-05 Chileka Intl, Malawi
9.74786301055e-05 Gander Intl, Canada
9.74693741216e-05 Islay, United Kingdom
9.74378337453e-05 Nain Airport, Canada
9.74201747576e-05 William R Fairchild International Airport, United States
9.73970153924e-05 Western Nebraska Regional Airport, United States
9.73970153924e-05 Alliance Municipal Airport, United States
9.73914981306e-05 Ronneby, Sweden
9.73771173924e-05 Yancheng Airport, China
9.71765994919e-05 Christmas Island, Christmas Island
9.70997117194e-05 Idaho Falls Rgnl, United States
9.70610699449e-05 Wanxian Airport, China
9.70215188904e-05 Kingman Airport, United States
9.69517422998e-05 East London, South Africa
9.69492310038e-05 Ambodedjo, Mali
9.69492310038e-05 Tinson Pen, Jamaica
9.69492310038e-05 Tarapoa, Ecuador
